name,lat,lng,attr,distance(km),cool_time_Lv1(h),cool_time_Lv1(hms),cool_time_Lv2(h),cool_time_Lv2(hms),cool_time_Lv3(h),cool_time_Lv3(hms),cool_time_Lv4(h),cool_time_Lv4(hms),cool_time_Lv5(h),cool_time_Lv5(hms),cool_time_Lv6(h),cool_time_Lv6(hms),cool_time_Lv7(h),cool_time_Lv7(hms)
落部,42.187617,140.420755,eco,124.038,18.67875,18時間40分43秒,16.01662,16時間1分0秒,13.52945,13時間31分46秒,11.21724,11時間13分2秒,7.60186,7時間36分7秒,4.64259,4時間38分33秒,2.33942,2時間20分22秒
野田生,42.217104,140.37586,eco,123.787,18.67793,18時間40分41秒,16.01531,16時間0分55秒,13.52771,13時間31分40秒,11.21512,11時間12分54秒,7.59942,7時間35分58秒,4.64001,4時間38分24秒,2.33690,2時間20分13秒
山越,42.231172,140.326593,eco,125.246,18.68270,18時間40分58秒,16.02290,16時間1分22秒,13.53781,13時間32分16秒,11.22744,11時間13分39秒,7.61362,7時間36分49秒,4.65499,4時間39分18秒,2.35155,2時間21分6秒
八雲,42.253391,140.273342,eco,126.406,18.68650,18時間41分11秒,16.02893,16時間1分44秒,13.54584,13時間32分45秒,11.23723,11時間14分14秒,7.62492,7時間37分30秒,4.66690,4時間40分1秒,2.36320,2時間21分48秒
鷲ノ巣,42.278389,140.269919,unknown,124.613,18.68063,18時間40分50秒,16.01961,16時間1分11秒,13.53343,13時間32分0秒,11.22209,11時間13分20秒,7.60746,7時間36分27秒,4.64849,4時間38分55秒,2.34519,2時間20分43秒
山崎(北海道),42.314635,140.2746,eco,121.509,18.67048,18時間40分14秒,16.00347,16時間0分12秒,13.51194,13時間30分43秒,11.19588,11時間11分45秒,7.57724,7時間34分38秒,4.61662,4時間37分0秒,2.31402,2時間18分50秒
黒岩,42.368296,140.288173,eco,116.616,18.65447,18時間39分16秒,15.97804,15時間58分41秒,13.47807,13時間28分41秒,11.15457,11時間9分16秒,7.52960,7時間31分47秒,4.56637,4時間33分59秒,2.26490,2時間15分54秒
北豊津,42.400969,140.297868,unknown,113.604,18.64462,18時間38分41秒,15.96239,15時間57分45秒,13.45723,13時間27分26秒,11.12914,11時間7分45秒,7.50027,7時間30分1秒,4.53544,4時間32分8秒,2.23466,2時間14分5秒
国縫,42.439319,140.320885,eco,109.393,18.63085,18時間37分51秒,15.94050,15時間56分26秒,13.42808,13時間25分41秒,11.09360,11時間5分37秒,7.45928,7時間27分33秒,4.49221,4時間29分32秒,2.19238,2時間11分33秒
中ノ沢,42.477928,140.346077,unknown,105.065,18.61670,18時間37分0秒,15.91801,15時間55分5秒,13.39814,13時間23分53秒,11.05707,11時間3分25秒,7.41716,7時間25分2秒,4.44778,4時間26分52秒,2.14894,2時間8分56秒
長万部,42.512477,140.37507,eco,100.810,18.60279,18時間36分10秒,15.89591,15時間53分45秒,13.36870,13時間22分7秒,11.02116,11時間1分16秒,7.37575,7時間22分33秒,4.40411,4時間24分15秒,2.10624,2時間6分22秒
二股,42.575869,140.320821,unknown,100.288,18.60109,18時間36分4秒,15.89320,15時間53分36秒,13.36509,13時間21分54秒,11.01675,11時間1分0秒,7.37067,7時間22分14秒,4.39876,4時間23分56秒,2.10101,2時間6分4秒
蕨岱,42.626353,140.313353,unknown,97.832,18.59306,18時間35分35秒,15.88044,15時間52分50秒,13.34810,13時間20分53秒,10.99603,10時間59分46秒,7.34678,7時間20分48秒,4.37355,4時間22分25秒,2.07636,2時間4分35秒
黒松内,42.669608,140.305704,eco,96.031,18.58717,18時間35分14秒,15.87109,15時間52分16秒,13.33564,13時間20分8秒,10.98084,10時間58分51秒,7.32926,7時間19分45秒,4.35507,4時間21分18秒,2.05829,2時間3分30秒
熱郛,42.675653,140.375084,eco,90.725,18.56983,18時間34分11秒,15.84354,15時間50分37秒,13.29895,13時間17分56秒,10.93609,10時間56分10秒,7.27765,7時間16分40秒,4.30064,4時間18分2秒,2.00507,2時間0分18秒
目名,42.761432,140.465742,eco,79.756,18.53401,18時間32分2秒,15.78661,15時間47分12秒,13.22315,13時間13分23秒,10.84362,10時間50分37秒,7.17102,7時間10分16秒,4.18818,4時間11分17秒,1.89511,1時間53分42秒
蘭越,42.804542,140.52894,heat,73.062,18.51217,18時間30分44秒,15.75190,15時間45分7秒,13.17692,13時間10分37秒,10.78723,10時間47分14秒,7.10599,7時間6分22秒,4.11960,4時間7分11秒,1.82806,1時間49分41秒
昆布,42.797984,140.596107,heat,68.411,18.49700,18時間29分49秒,15.72779,15時間43分40秒,13.14481,13時間8分41秒,10.74807,10時間44分53秒,7.06084,7時間3分39秒,4.07198,4時間4分19秒,1.78149,1時間46分53秒
ニセコ,42.808746,140.684588,heat,61.447,18.47430,18時間28分27秒,15.69172,15時間41分30秒,13.09677,13時間5分48秒,10.68947,10時間41分22秒,6.99327,6時間59分36秒,4.00071,4時間0分3秒,1.71181,1時間42分42秒
比羅夫,42.84856,140.722615,heat,56.672,18.45875,18時間27分31秒,15.66700,15時間40分1秒,13.06386,13時間3分50秒,10.64932,10時間38分58秒,6.94696,6時間56分49秒,3.95188,3時間57分7秒,1.66406,1時間39分51秒
倶知安,42.90164,140.745471,heat,52.620,18.44555,18時間26分44秒,15.64603,15時間38分46秒,13.03594,13時間2分9秒,10.61527,10時間36分55秒,6.90769,6時間54分28秒,3.91046,3時間54分38秒,1.62356,1時間37分25秒
小沢,42.97185,140.677657,heat,55.769,18.45581,18時間27分21秒,15.66233,15時間39分44秒,13.05763,13時間3分27秒,10.64173,10時間38分30秒,6.93821,6時間56分18秒,3.94264,3時間56分34秒,1.65503,1時間39分18秒
銀山,43.040888,140.715321,cool,51.722,18.44263,18時間26分33秒,15.64139,15時間38分29秒,13.02975,13時間1分47秒,10.60772,10時間36分28秒,6.89899,6時間53分56秒,3.90128,3時間54分5秒,1.61459,1時間36分53秒
然別,43.12551,140.737211,cool,50.217,18.43773,18時間26分16秒,15.63361,15時間38分1秒,13.01939,13時間1分10秒,10.59508,10時間35分42秒,6.88442,6時間53分4秒,3.88591,3時間53分9秒,1.59955,1時間35分58秒
仁木,43.154091,140.770546,cool,48.049,18.43068,18時間25分50秒,15.62240,15時間37分21秒,13.00446,13時間0分16秒,10.57687,10時間34分37秒,6.86342,6時間51分48秒,3.86376,3時間51分50秒,1.57790,1時間34分40秒
余市,43.186558,140.794686,cool,46.995,18.42725,18時間25分38秒,15.61695,15時間37分1秒,12.99721,12時間59分50秒,10.56802,10時間34分5秒,6.85321,6時間51分12秒,3.85300,3時間51分11秒,1.56738,1時間34分3秒
蘭島,43.19651,140.854643,cool,42.697,18.41328,18時間24分48秒,15.59474,15時間35分41秒,12.96763,12時間58分3秒,10.53195,10時間31分55秒,6.81162,6時間48分42秒,3.80913,3時間48分33秒,1.52448,1時間31分28秒
塩谷,43.202406,140.924546,cool,37.649,18.39688,18時間23分49秒,15.56868,15時間34分7秒,12.93292,12時間55分59秒,10.48961,10時間29分23秒,6.76279,6時間45分46秒,3.75763,3時間45分27秒,1.47413,1時間28分27秒
小樽,43.197172,140.993653,cool,32.313,18.37955,18時間22分46秒,15.54115,15時間32分28秒,12.89626,12時間53分47秒,10.44489,10時間26分42秒,6.71122,6時間42分40秒,3.70324,3時間42分12秒,1.42095,1時間25分15秒
南小樽,43.186529,141.007883,cool,30.761,18.37452,18時間22分28秒,15.53314,15時間31分59秒,12.88560,12時間53分8秒,10.43189,10時間25分55秒,6.69623,6時間41分46秒,3.68743,3時間41分15秒,1.40549,1時間24分20秒
小樽築港,43.180752,141.029051,cool,28.934,18.36859,18時間22分7秒,15.52373,15時間31分25秒,12.87306,12時間52分23秒,10.41659,10時間25分0秒,6.67859,6時間40分43秒,3.66883,3時間40分8秒,1.38730,1時間23分14秒
朝里,43.176868,141.063923,cool,26.208,18.35975,18時間21分35秒,15.50968,15時間30分35秒,12.85435,12時間51分16秒,10.39377,10時間23分38秒,6.65228,6時間39分8秒,3.64107,3時間38分28秒,1.36016,1時間21分37秒
銭函,43.143403,141.159868,cool,17.588,18.33183,18時間19分55秒,15.46531,15時間27分55秒,12.79526,12時間47分43秒,10.32169,10時間19分18秒,6.56916,6時間34分9秒,3.55341,3時間33分12秒,1.27445,1時間16分28秒
ほしみ,43.13373,141.191402,cool,14.827,18.32289,18時間19分22秒,15.45111,15時間27分4秒,12.77635,12時間46分35秒,10.29863,10時間17分55秒,6.54256,6時間32分33秒,3.52536,3時間31分31秒,1.24702,1時間14分49秒
星置,43.132375,141.210856,cool,13.391,18.31825,18時間19分6秒,15.44373,15時間26分37秒,12.76652,12時間45分59秒,10.28664,10時間17分12秒,6.52874,6時間31分43秒,3.51078,3時間30分39秒,1.23276,1時間13分58秒
稲穂,43.128115,141.222919,cool,12.310,18.31475,18時間18分53秒,15.43817,15時間26分17秒,12.75913,12時間45分33秒,10.27762,10時間16分39秒,6.51833,6時間31分6秒,3.49980,3時間29分59秒,1.22203,1時間13分19秒
手稲,43.120238,141.243785,eco,10.412,18.30862,18時間18分31秒,15.42842,15時間25分42秒,12.74614,12時間44分46秒,10.26178,10時間15分42秒,6.50007,6時間30分0秒,3.48054,3時間28分50秒,1.20319,1時間12分12秒
稲積公園,43.112023,141.257113,eco,9.008,18.30408,18時間18分15秒,15.42121,15時間25分16秒,12.73654,12時間44分12秒,10.25006,10時間15分0秒,6.48656,6時間29分12秒,3.46630,3時間27分59秒,1.18927,1時間11分21秒
発寒,43.099819,141.277273,eco,6.904,18.29728,18時間17分50秒,15.41041,15時間24分37秒,12.72216,12時間43分20秒,10.23252,10時間13分57秒,6.46633,6時間27分59秒,3.44496,3時間26分42秒,1.16840,1時間10分6秒
発寒中央,43.089271,141.294497,eco,5.115,18.29151,18時間17分29秒,15.40123,15時間24分4秒,12.70993,12時間42分36秒,10.21761,10時間13分3秒,6.44913,6時間26分57秒,3.42682,3時間25分37秒,1.15067,1時間9分2秒
琴似(JR),43.081599,141.307418,eco,3.806,18.28728,18時間17分14秒,15.39451,15時間23分40秒,12.70099,12時間42分4秒,10.20670,10時間12分24秒,6.43655,6時間26分12秒,3.41355,3時間24分49秒,1.13770,1時間8分16秒
桑園,43.070744,141.332036,eco,1.540,18.27997,18時間16分48秒,15.38289,15時間22分58秒,12.68551,12時間41分8秒,10.18782,10時間11分16秒,6.41479,6時間24分53秒,3.39060,3時間23分26秒,1.11525,1時間6分55秒
札幌,43.068612,141.350768,eco,0.000,18.27500,18時間16分30秒,15.37500,15時間22分30秒,12.67500,12時間40分30秒,10.17500,10時間10分30秒,6.40000,6時間24分0秒,3.37500,3時間22分30秒,1.10000,1時間6分0秒
さっぽろ,43.06637,141.350299,heat,0.252,18.27581,18時間16分33秒,15.37629,15時間22分35秒,12.67672,12時間40分36秒,10.17710,10時間10分38秒,6.40242,6時間24分9秒,3.37755,3時間22分39秒,1.10249,1時間6分9秒
苗穂,43.06826,141.373471,eco,1.845,18.28095,18時間16分51秒,15.38446,15時間23分4秒,12.68759,12時間41分15秒,10.19036,10時間11分25秒,6.41772,6時間25分4秒,3.39368,3時間23分37秒,1.11827,1時間7分6秒
白石(JR),43.054715,141.413612,eco,5.334,18.29221,18時間17分32秒,15.40235,15時間24分8秒,12.71143,12時間42分41秒,10.21943,10時間13分10秒,6.45124,6時間27分4秒,3.42904,3時間25分45秒,1.15284,1時間9分10秒
厚別,43.045154,141.46369,eco,9.538,18.30579,18時間18分21秒,15.42393,15時間25分26秒,12.74016,12時間44分25秒,10.25449,10時間15分16秒,6.49166,6時間29分30秒,3.47167,3時間28分18秒,1.19452,1時間11分40秒
森林公園(北海道),43.056456,141.481332,eco,10.693,18.30952,18時間18分34秒,15.42986,15時間25分48秒,12.74806,12時間44分53秒,10.26412,10時間15分51秒,6.50277,6時間30分10秒,3.48339,3時間29分0秒,1.20598,1時間12分22秒
大麻,43.072382,141.496925,eco,11.880,18.31336,18時間18分48秒,15.43596,15時間26分9秒,12.75618,12時間45分22秒,10.27403,10時間16分26秒,6.51419,6時間30分51秒,3.49544,3時間29分44秒,1.21776,1時間13分4秒
野幌,43.092559,141.52984,eco,14.785,18.32276,18時間19分22秒,15.45089,15時間27分3秒,12.77607,12時間46分34秒,10.29828,10時間17分54秒,6.54216,6時間32分32秒,3.52493,3時間31分30秒,1.24660,1時間14分48秒
高砂(北海道),43.100084,141.540752,eco,15.821,18.32611,18時間19分34秒,15.45622,15時間27分22秒,12.78316,12時間46分59秒,10.30693,10時間18分25秒,6.55214,6時間33分8秒,3.53546,3時間32分8秒,1.25689,1時間15分25秒
江別,43.110189,141.55679,eco,17.357,18.33108,18時間19分52秒,15.46412,15時間27分51秒,12.79368,12時間47分37秒,10.31976,10時間19分11秒,6.56693,6時間34分1秒,3.55106,3時間33分4秒,1.27215,1時間16分20秒
豊幌,43.136446,141.62466,eco,23.481,18.35091,18時間21分3秒,15.49563,15時間29分44秒,12.83565,12時間50分8秒,10.37096,10時間22分15秒,6.62597,6時間37分33秒,3.61333,3時間36分48秒,1.33303,1時間19分59秒
幌向,43.151348,141.655839,eco,26.418,18.36043,18時間21分38秒,15.51076,15時間30分39秒,12.85579,12時間51分21秒,10.39553,10時間23分44秒,6.65431,6時間39分15秒,3.64321,3時間38分36秒,1.36225,1時間21分44秒
上幌向,43.18183,141.715391,eco,32.158,18.37905,18時間22分45秒,15.54035,15時間32分25秒,12.89520,12時間53分43秒,10.44359,10時間26分37秒,6.70973,6時間42分35秒,3.70166,3時間42分6秒,1.41940,1時間25分10秒
岩見沢,43.204201,141.759359,eco,36.421,18.39289,18時間23分34秒,15.56234,15時間33分44秒,12.92448,12時間55分28秒,10.47931,10時間28分46秒,6.75092,6時間45分3秒,3.74511,3時間44分42秒,1.46189,1時間27分43秒
峰延,43.264694,141.814673,eco,43.485,18.41584,18時間24分57秒,15.59881,15時間35分56秒,12.97305,12時間58分23秒,10.53856,10時間32分19秒,6.81924,6時間49分9秒,3.81717,3時間49分2秒,1.53234,1時間31分56秒
光珠内,43.292658,141.844655,eco,47.163,18.42780,18時間25分40秒,15.61782,15時間37分4秒,12.99836,12時間59分54秒,10.56943,10時間34分10秒,6.85484,6時間51分17秒,3.85472,3時間51分17秒,1.56906,1時間34分9秒
美唄,43.330751,141.862157,eco,50.674,18.43922,18時間26分21秒,15.63597,15時間38分9秒,13.02254,13時間1分21秒,10.59892,10時間35分56秒,6.88884,6時間53分20秒,3.89058,3時間53分26秒,1.60412,1時間36分15秒
茶志内,43.369842,141.87336,eco,53.992,18.45002,18時間27分0秒,15.65313,15時間39分11秒,13.04539,13時間2分43秒,10.62680,10時間37分36秒,6.92099,6時間55分16秒,3.92448,3時間55分28秒,1.63727,1時間38分14秒
奈井江,43.423718,141.889115,eco,58.825,18.46576,18時間27分57秒,15.67814,15時間40分41秒,13.07870,13時間4分43秒,10.66742,10時間40分3秒,6.96784,6時間58分4秒,3.97389,3時間58分26秒,1.68558,1時間41分8秒
豊沼,43.464224,141.901032,eco,62.611,18.47809,18時間28分41秒,15.69774,15時間41分52秒,13.10480,13時間6分17秒,10.69926,10時間41分57秒,7.00456,7時間0分16秒,4.01262,4時間0分45秒,1.72345,1時間43分24秒
砂川,43.493468,141.909642,eco,65.410,18.48722,18時間29分14秒,15.71224,15時間42分44秒,13.12411,13時間7分27秒,10.72281,10時間43分22秒,7.03171,7時間1分54秒,4.04126,4時間2分29秒,1.75145,1時間45分5秒
滝川,43.555278,141.900807,eco,70.063,18.50239,18時間30分9秒,15.73635,15時間44分11秒,13.15622,13時間9分22秒,10.76198,10時間45分43秒,7.07687,7時間4分37秒,4.08889,4時間5分20秒,1.79803,1時間47分53秒
江部乙,43.627564,141.935937,heat,78.114,18.52865,18時間31分43秒,15.77809,15時間46分41秒,13.21180,13時間12分42秒,10.82978,10時間49分47秒,7.15506,7時間9分18秒,4.17136,4時間10分17秒,1.87866,1時間52分43秒
妹背牛,43.690841,141.966591,heat,85.229,18.55188,18時間33分7秒,15.81501,15時間48分54秒,13.26096,13時間15分39秒,10.88975,10時間53分23秒,7.22421,7時間13分27秒,4.24428,4時間14分39秒,1.94997,1時間57分0秒
深川,43.721021,142.041642,heat,91.535,18.57248,18時間34分21秒,15.84774,15時間50分52秒,13.30455,13時間18分16秒,10.94292,10時間56分34秒,7.28552,7時間17分8秒,4.30895,4時間18分32秒,2.01320,2時間0分48秒
納内,43.732509,142.130072,heat,97.023,18.59041,18時間35分25秒,15.87624,15時間52分34秒,13.34250,13時間20分33秒,10.98921,10時間59分21秒,7.33891,7時間20分20秒,4.36525,4時間21分55秒,2.06825,2時間4分6秒
神居古潭,43.732833,142.202222,unknown,100.929,18.60318,18時間36分11秒,15.89653,15時間53分47秒,13.36952,13時間22分10秒,11.02216,11時間1分20秒,7.37691,7時間22分37秒,4.40533,4時間24分19秒,2.10744,2時間6分27秒
伊納,43.763305,142.27167,unknown,107.235,18.62380,18時間37分26秒,15.92929,15時間55分45秒,13.41315,13時間24分47秒,11.07538,11時間4分31秒,7.43828,7時間26分18秒,4.47006,4時間28分12秒,2.17072,2時間10分15秒
近文,43.789193,142.325327,heat,112.308,18.64038,18時間38分25秒,15.95565,15時間57分20秒,13.44826,13時間26分54秒,11.11820,11時間7分6秒,7.48766,7時間29分16秒,4.52214,4時間31分20秒,2.22165,2時間13分18秒
旭川,43.763492,142.357803,heat,112.186,18.63999,18時間38分24秒,15.95502,15時間57分18秒,13.44741,13時間26分51秒,11.11717,11時間7分2秒,7.48647,7時間29分11秒,4.52089,4時間31分15秒,2.22042,2時間13分14秒
静狩,42.584065,140.460025,eco,90.442,18.56891,18時間34分8秒,15.84207,15時間50分31秒,13.29700,13時間17分49秒,10.93370,10時間56分1秒,7.27490,7時間16分30秒,4.29774,4時間17分52秒,2.00224,2時間0分8秒
小幌,42.589731,140.537361,eco,85.061,18.55133,18時間33分5秒,15.81414,15時間48分51秒,13.25980,13時間15分35秒,10.88833,10時間53分18秒,7.22258,7時間13分21秒,4.24256,4時間14分33秒,1.94828,1時間56分54秒
礼文,42.580422,140.595013,eco,82.132,18.54177,18時間32分30秒,15.79894,15時間47分56秒,13.23956,13時間14分22秒,10.86364,10時間51分49秒,7.19411,7時間11分39秒,4.21254,4時間12分45秒,1.91892,1時間55分8秒
大岸,42.585969,140.639036,eco,79.051,18.53171,18時間31分54秒,15.78295,15時間46分59秒,13.21828,13時間13分6秒,10.83768,10時間50分16秒,7.16417,7時間9分51秒,4.18096,4時間10分51秒,1.88805,1時間53分17秒
豊浦,42.580323,140.71536,eco,75.055,18.51867,18時間31分7秒,15.76223,15時間45分44秒,13.19068,13時間11分26秒,10.80401,10時間48分14秒,7.12535,7時間7分31秒,4.14002,4時間8分24秒,1.84802,1時間50分53秒
洞爺,42.55055,140.763959,eco,74.898,18.51816,18時間31分5秒,15.76142,15時間45分41秒,13.18959,13時間11分23秒,10.80269,10時間48分10秒,7.12382,7時間7分26秒,4.13841,4時間8分18秒,1.84644,1時間50分47秒
有珠,42.513267,140.793969,eco,76.665,18.52393,18時間31分26秒,15.77058,15時間46分14秒,13.20180,13時間12分6秒,10.81758,10時間49分3秒,7.14099,7時間8分28秒,4.15651,4時間9分23秒,1.86414,1時間51分51秒
長和,42.488262,140.833783,eco,77.102,18.52535,18時間31分31秒,15.77285,15時間46分22秒,13.20481,13時間12分17秒,10.82126,10時間49分17秒,7.14523,7時間8分43秒,4.16099,4時間9分40秒,1.86852,1時間52分7秒
伊達紋別,42.469395,140.855802,eco,77.922,18.52803,18時間31分41秒,15.77710,15時間46分38秒,13.21048,13時間12分38秒,10.82817,10時間49分41秒,7.15320,7時間9分12秒,4.16939,4時間10分10秒,1.87674,1時間52分36秒
北舟岡,42.450528,140.880259,eco,78.734,18.53068,18時間31分50秒,15.78131,15時間46分53秒,13.21609,13時間12分58秒,10.83501,10時間50分6秒,7.16109,7時間9分40秒,4.17771,4時間10分40秒,1.88487,1時間53分6秒
稀府,42.425567,140.898836,eco,80.464,18.53633,18時間32分11秒,15.79028,15時間47分25秒,13.22804,13時間13分41秒,10.84958,10時間50分59秒,7.17790,7時間10分40秒,4.19544,4時間11分44秒,1.90221,1時間54分8秒
黄金(北海道),42.386441,140.907781,eco,84.042,18.54801,18時間32分53秒,15.80885,15時間48分32秒,13.25276,13時間15分10秒,10.87974,10時間52分47秒,7.21267,7時間12分46秒,4.23212,4時間13分56秒,1.93807,1時間56分17秒
崎守,42.373968,140.927141,eco,84.639,18.54996,18時間33分0秒,15.81195,15時間48分43秒,13.25688,13時間15分25秒,10.88477,10時間53分5秒,7.21848,7時間13分7秒,4.23824,4時間14分18秒,1.94405,1時間56分39秒
