name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms),reduction(hms)
本石倉,42.159668,140.471957,unknown,124.042,7.60190,7時間36分7秒,8時間23分53秒
石倉,42.17285,140.458436,eco,123.497,7.59659,7時間35分48秒,8時間24分12秒
落部,42.187617,140.420755,eco,124.038,7.60186,7時間36分7秒,8時間23分53秒
野田生,42.217104,140.37586,eco,123.787,7.59942,7時間35分58秒,8時間24分2秒
山越,42.231172,140.326593,eco,125.246,7.61362,7時間36分49秒,8時間23分11秒
八雲,42.253391,140.273342,eco,126.406,7.62492,7時間37分30秒,8時間22分30秒
鷲ノ巣,42.278389,140.269919,unknown,124.613,7.60746,7時間36分27秒,8時間23分33秒
山崎(北海道),42.314635,140.2746,eco,121.509,7.57724,7時間34分38秒,8時間25分22秒
黒岩,42.368296,140.288173,eco,116.616,7.52960,7時間31分47秒,8時間28分13秒
北豊津,42.400969,140.297868,unknown,113.604,7.50027,7時間30分1秒,8時間29分59秒
国縫,42.439319,140.320885,eco,109.393,7.45928,7時間27分33秒,8時間32分27秒
中ノ沢,42.477928,140.346077,unknown,105.065,7.41716,7時間25分2秒,8時間34分58秒
長万部,42.512477,140.37507,eco,100.810,7.37575,7時間22分33秒,8時間37分27秒
二股,42.575869,140.320821,unknown,100.288,7.37067,7時間22分14秒,8時間37分46秒
蕨岱,42.626353,140.313353,unknown,97.832,7.34678,7時間20分48秒,8時間39分12秒
黒松内,42.669608,140.305704,eco,96.031,7.32926,7時間19分45秒,8時間40分15秒
熱郛,42.675653,140.375084,eco,90.725,7.27765,7時間16分40秒,8時間43分20秒
目名,42.761432,140.465742,eco,79.756,7.17102,7時間10分16秒,8時間49分44秒
蘭越,42.804542,140.52894,heat,73.062,7.10599,7時間6分22秒,8時間53分38秒
昆布,42.797984,140.596107,heat,68.411,7.06084,7時間3分39秒,8時間56分21秒
ニセコ,42.808746,140.684588,heat,61.447,6.99327,6時間59分36秒,9時間0分24秒
比羅夫,42.84856,140.722615,heat,56.672,6.94696,6時間56分49秒,9時間3分11秒
倶知安,42.90164,140.745471,heat,52.620,6.90769,6時間54分28秒,9時間5分32秒
小沢,42.97185,140.677657,heat,55.769,6.93821,6時間56分18秒,9時間3分42秒
銀山,43.040888,140.715321,cool,51.722,6.89899,6時間53分56秒,9時間6分4秒
然別,43.12551,140.737211,cool,50.217,6.88442,6時間53分4秒,9時間6分56秒
仁木,43.154091,140.770546,cool,48.049,6.86342,6時間51分48秒,9時間8分12秒
余市,43.186558,140.794686,cool,46.995,6.85321,6時間51分12秒,9時間8分48秒
蘭島,43.19651,140.854643,cool,42.697,6.81162,6時間48分42秒,9時間11分18秒
塩谷,43.202406,140.924546,cool,37.649,6.76279,6時間45分46秒,9時間14分14秒
小樽,43.197172,140.993653,cool,32.313,6.71122,6時間42分40秒,9時間17分20秒
南小樽,43.186529,141.007883,cool,30.761,6.69623,6時間41分46秒,9時間18分14秒
小樽築港,43.180752,141.029051,cool,28.934,6.67859,6時間40分43秒,9時間19分17秒
朝里,43.176868,141.063923,cool,26.208,6.65228,6時間39分8秒,9時間20分52秒
銭函,43.143403,141.159868,cool,17.588,6.56916,6時間34分9秒,9時間25分51秒
ほしみ,43.13373,141.191402,cool,14.827,6.54256,6時間32分33秒,9時間27分27秒
星置,43.132375,141.210856,cool,13.391,6.52874,6時間31分43秒,9時間28分17秒
稲穂,43.128115,141.222919,cool,12.310,6.51833,6時間31分6秒,9時間28分54秒
手稲,43.120238,141.243785,eco,10.412,6.50007,6時間30分0秒,9時間30分0秒
稲積公園,43.112023,141.257113,eco,9.008,6.48656,6時間29分12秒,9時間30分48秒
発寒,43.099819,141.277273,eco,6.904,6.46633,6時間27分59秒,9時間32分1秒
発寒中央,43.089271,141.294497,eco,5.115,6.44913,6時間26分57秒,9時間33分3秒
琴似(JR),43.081599,141.307418,eco,3.806,6.43655,6時間26分12秒,9時間33分48秒
桑園,43.070744,141.332036,eco,1.540,6.41479,6時間24分53秒,9時間35分7秒
札幌,43.068612,141.350768,eco,0.000,6.40000,6時間24分0秒,9時間36分0秒
さっぽろ,43.06637,141.350299,heat,0.252,6.40242,6時間24分9秒,9時間35分51秒
苗穂,43.06826,141.373471,eco,1.845,6.41772,6時間25分4秒,9時間34分56秒
白石(JR),43.054715,141.413612,eco,5.334,6.45124,6時間27分4秒,9時間32分56秒
厚別,43.045154,141.46369,eco,9.538,6.49166,6時間29分30秒,9時間30分30秒
森林公園(北海道),43.056456,141.481332,eco,10.693,6.50277,6時間30分10秒,9時間29分50秒
大麻,43.072382,141.496925,eco,11.880,6.51419,6時間30分51秒,9時間29分9秒
野幌,43.092559,141.52984,eco,14.785,6.54216,6時間32分32秒,9時間27分28秒
高砂(北海道),43.100084,141.540752,eco,15.821,6.55214,6時間33分8秒,9時間26分52秒
江別,43.110189,141.55679,eco,17.357,6.56693,6時間34分1秒,9時間25分59秒
豊幌,43.136446,141.62466,eco,23.481,6.62597,6時間37分33秒,9時間22分27秒
幌向,43.151348,141.655839,eco,26.418,6.65431,6時間39分15秒,9時間20分45秒
上幌向,43.18183,141.715391,eco,32.158,6.70973,6時間42分35秒,9時間17分25秒
岩見沢,43.204201,141.759359,eco,36.421,6.75092,6時間45分3秒,9時間14分57秒
峰延,43.264694,141.814673,eco,43.485,6.81924,6時間49分9秒,9時間10分51秒
光珠内,43.292658,141.844655,eco,47.163,6.85484,6時間51分17秒,9時間8分43秒
美唄,43.330751,141.862157,eco,50.674,6.88884,6時間53分20秒,9時間6分40秒
茶志内,43.369842,141.87336,eco,53.992,6.92099,6時間55分16秒,9時間4分44秒
奈井江,43.423718,141.889115,eco,58.825,6.96784,6時間58分4秒,9時間1分56秒
豊沼,43.464224,141.901032,eco,62.611,7.00456,7時間0分16秒,8時間59分44秒
砂川,43.493468,141.909642,eco,65.410,7.03171,7時間1分54秒,8時間58分6秒
滝川,43.555278,141.900807,eco,70.063,7.07687,7時間4分37秒,8時間55分23秒
江部乙,43.627564,141.935937,heat,78.114,7.15506,7時間9分18秒,8時間50分42秒
妹背牛,43.690841,141.966591,heat,85.229,7.22421,7時間13分27秒,8時間46分33秒
深川,43.721021,142.041642,heat,91.535,7.28552,7時間17分8秒,8時間42分52秒
納内,43.732509,142.130072,heat,97.023,7.33891,7時間20分20秒,8時間39分40秒
神居古潭,43.732833,142.202222,unknown,100.929,7.37691,7時間22分37秒,8時間37分23秒
伊納,43.763305,142.27167,unknown,107.235,7.43828,7時間26分18秒,8時間33分42秒
近文,43.789193,142.325327,heat,112.308,7.48766,7時間29分16秒,8時間30分44秒
旭川,43.763492,142.357803,heat,112.186,7.48647,7時間29分11秒,8時間30分49秒
静狩,42.584065,140.460025,eco,90.442,7.27490,7時間16分30秒,8時間43分30秒
小幌,42.589731,140.537361,eco,85.061,7.22258,7時間13分21秒,8時間46分39秒
礼文,42.580422,140.595013,eco,82.132,7.19411,7時間11分39秒,8時間48分21秒
大岸,42.585969,140.639036,eco,79.051,7.16417,7時間9分51秒,8時間50分9秒
豊浦,42.580323,140.71536,eco,75.055,7.12535,7時間7分31秒,8時間52分29秒
洞爺,42.55055,140.763959,eco,74.898,7.12382,7時間7分26秒,8時間52分34秒
有珠,42.513267,140.793969,eco,76.665,7.14099,7時間8分28秒,8時間51分32秒
長和,42.488262,140.833783,eco,77.102,7.14523,7時間8分43秒,8時間51分17秒
伊達紋別,42.469395,140.855802,eco,77.922,7.15320,7時間9分12秒,8時間50分48秒
北舟岡,42.450528,140.880259,eco,78.734,7.16109,7時間9分40秒,8時間50分20秒
稀府,42.425567,140.898836,eco,80.464,7.17790,7時間10分40秒,8時間49分20秒
黄金(北海道),42.386441,140.907781,eco,84.042,7.21267,7時間12分46秒,8時間47分14秒
崎守,42.373968,140.927141,eco,84.639,7.21848,7時間13分7秒,8時間46分53秒
本輪西,42.358734,140.977561,eco,84.619,7.21828,7時間13分6秒,8時間46分54秒
室蘭,42.317864,140.97571,cool,88.929,7.26018,7時間15分37秒,8時間44分23秒
母恋,42.317295,140.990018,cool,88.592,7.25691,7時間15分25秒,8時間44分35秒
御崎,42.329014,140.993881,cool,87.258,7.24394,7時間14分38秒,8時間45分22秒
輪西,42.333775,141.005743,cool,86.437,7.23595,7時間14分9秒,8時間45分51秒
東室蘭,42.349374,141.026411,cool,84.252,7.21471,7時間12分53秒,8時間47分7秒
鷲別,42.35953,141.042759,cool,82.764,7.20025,7時間12分1秒,8時間47分59秒
幌別,42.409782,141.107293,cool,75.909,7.13364,7時間8分1秒,8時間51分59秒
富浦(北海道),42.441957,141.156878,cool,71.456,7.09040,7時間5分25秒,8時間54分35秒
登別,42.45207,141.180931,cool,69.944,7.07572,7時間4分33秒,8時間55分27秒
虎杖浜,42.464695,141.215092,heat,68.060,7.05743,7時間3分27秒,8時間56分33秒
竹浦,42.49284,141.260395,heat,64.446,7.02236,7時間1分20秒,8時間58分40秒
北吉原,42.509119,141.286199,heat,62.435,7.00285,7時間0分10秒,8時間59分50秒
萩野,42.521159,141.30603,heat,60.983,6.98877,6時間59分20秒,9時間0分40秒
白老,42.55474,141.360054,heat,57.145,6.95155,6時間57分6秒,9時間2分54秒
社台,42.578682,141.417433,heat,54.748,6.92832,6時間55分42秒,9時間4分18秒
錦岡,42.6025,141.48722,heat,53.010,6.91147,6時間54分41秒,9時間5分19秒
糸井,42.6225,141.546187,heat,52.101,6.90267,6時間54分10秒,9時間5分50秒
青葉,42.62999,141.568278,heat,51.896,6.90068,6時間54分2秒,9時間5分58秒
苫小牧,42.639665,141.596837,eco,51.743,6.89920,6時間53分57秒,9時間6分3秒
沼ノ端,42.672057,141.693132,eco,52.180,6.90343,6時間54分12秒,9時間5分48秒
遠浅,42.729533,141.769568,heat,50.846,6.89051,6時間53分26秒,9時間6分34秒
早来,42.765237,141.814106,heat,50.612,6.88824,6時間53分18秒,9時間6分42秒
安平,42.814007,141.825283,cool,47.890,6.86188,6時間51分43秒,9時間8分17秒
追分(北海道),42.873316,141.810678,cool,43.264,6.81710,6時間49分2秒,9時間10分58秒
三川(北海道),42.945029,141.800778,cool,39.087,6.77670,6時間46分36秒,9時間13分24秒
古山,42.975256,141.793969,eco,37.495,6.76130,6時間45分41秒,9時間14分19秒
由仁,43.012206,141.785868,eco,35.912,6.74600,6時間44分46秒,9時間15分14秒
栗山,43.058164,141.775603,eco,34.533,6.73267,6時間43分58秒,9時間16分2秒
栗丘,43.085444,141.744333,eco,32.020,6.70839,6時間42分30秒,9時間17分30秒
栗沢,43.120367,141.739743,eco,32.104,6.70920,6時間42分33秒,9時間17分27秒
志文,43.158903,141.744443,eco,33.495,6.72264,6時間43分22秒,9時間16分38秒
東滝川,43.574037,141.98031,unknown,75.842,7.13299,7時間7分59秒,8時間52分1秒
赤平,43.555144,142.048669,eco,78.199,7.15589,7時間9分21秒,8時間50分39秒
茂尻,43.537314,142.082156,eco,78.860,7.16231,7時間9分44秒,8時間50分16秒
平岸(JR),43.541401,142.123872,eco,81.714,7.19005,7時間11分24秒,8時間48分36秒
芦別,43.516636,142.184543,eco,83.877,7.21107,7時間12分40秒,8時間47分20秒
上芦別,43.48871,142.210855,eco,83.844,7.21075,7時間12分39秒,8時間47分21秒
野花南,43.474418,142.261772,eco,86.465,7.23623,7時間14分10秒,8時間45分50秒
島ノ下,43.3744,142.350406,unknown,87.846,7.24965,7時間14分59秒,8時間45分1秒
富良野,43.347114,142.391374,cool,89.843,7.26907,7時間16分9秒,8時間43分51秒
布部,43.291991,142.400595,unknown,88.673,7.25769,7時間15分28秒,8時間44分32秒
山部,43.244645,142.381522,unknown,85.870,7.23044,7時間13分50秒,8時間46分10秒
下金山,43.197328,142.415402,unknown,87.568,7.24695,7時間14分49秒,8時間45分11秒
金山(北海道),43.136115,142.416201,unknown,86.824,7.23972,7時間14分23秒,8時間45分37秒
東鹿越,43.164011,142.523472,unknown,95.775,7.32677,7時間19分36秒,8時間40分24秒
幾寅,43.161582,142.569474,unknown,99.461,7.36263,7時間21分45秒,8時間38分15秒
落合(北海道),43.125055,142.669104,unknown,107.224,7.43817,7時間26分17秒,8時間33分43秒
新得,43.082501,142.832432,cool,120.353,7.56598,7時間33分58秒,8時間26分2秒
十勝清水,43.012892,142.879535,cool,124.394,7.60533,7時間36分19秒,8時間23分41秒
羽帯,42.957499,142.906646,unknown,127.102,7.63169,7時間37分54秒,8時間22分6秒
御影(北海道),42.942418,142.935739,cool,129.642,7.65643,7時間39分23秒,8時間20分37秒
芽室,42.909846,143.047991,cool,139.169,7.74919,7時間44分57秒,8時間15分3秒
大成,42.918662,143.071241,cool,140.916,7.76620,7時間45分58秒,8時間14分2秒
西帯広,42.923941,143.126351,cool,145.295,7.80884,7時間48分32秒,8時間11分28秒
柏林台,42.928877,143.1645,cool,148.314,7.83823,7時間50分18秒,8時間9分42秒
帯広,42.917997,143.20195,cool,151.485,7.86910,7時間52分9秒,8時間7分51秒
札内,42.912697,143.256248,eco,155.946,7.91251,7時間54分45秒,8時間5分15秒
稲士別,42.903963,143.297528,unknown,159.402,7.94615,7時間56分46秒,8時間3分14秒
幕別,42.90784,143.359293,eco,164.341,7.99420,7時間59分39秒,8時間0分21秒
利別,42.934706,143.424445,eco,169.284,8.04228,8時間2分32秒,7時間57分28秒
池田(北海道),42.922186,143.453033,eco,171.744,8.06621,8時間3分58秒,7時間56分2秒
十弗,42.855781,143.500797,eco,176.542,8.11286,8時間6分46秒,7時間53分14秒
豊頃,42.817548,143.538615,eco,180.256,8.14896,8時間8分56秒,7時間51分4秒
新吉野,42.778238,143.60826,eco,186.622,8.21081,8時間12分39秒,7時間47分21秒
浦幌,42.810849,143.651568,eco,189.465,8.23842,8時間14分18秒,7時間45分42秒
上厚内,42.831881,143.749788,unknown,197.012,8.31168,8時間18分42秒,7時間41分18秒
厚内,42.809539,143.814389,eco,202.598,8.36587,8時間21分57秒,7時間38分3秒
直別,42.852205,143.863607,unknown,205.886,8.39775,8時間23分52秒,7時間36分8秒
尺別,42.869163,143.904331,unknown,208.940,8.42735,8時間25分38秒,7時間34分22秒
音別,42.888997,143.932442,eco,210.960,8.44692,8時間26分49秒,7時間33分11秒
古瀬,42.947893,144.008589,unknown,216.520,8.50077,8時間30分3秒,7時間29分57秒
白糠,42.956161,144.076879,heat,221.993,8.55373,8時間33分13秒,7時間26分47秒
西庶路,42.976138,144.129826,heat,226.142,8.59386,8時間35分38秒,7時間24分22秒
庶路,42.983601,144.150018,heat,227.732,8.60923,8時間36分33秒,7時間23分27秒
大楽毛,43.009078,144.273879,heat,237.645,8.70497,8時間42分18秒,7時間17分42秒
新大楽毛,43.009423,144.295558,heat,239.405,8.72195,8時間43分19秒,7時間16分41秒
新富士(北海道),43.001605,144.350758,heat,243.929,8.76558,8時間45分56秒,7時間14分4秒
釧路,42.990584,144.381983,eco,246.527,8.79062,8時間47分26秒,7時間12分34秒
東釧路,42.995207,144.411307,eco,248.882,8.81331,8時間48分48秒,7時間11分12秒
武佐(北海道),42.991364,144.426681,heat,250.153,8.82555,8時間49分32秒,7時間10分28秒
別保,42.994384,144.469596,heat,253.622,8.85894,8時間51分32秒,7時間8分28秒
上尾幌,43.032893,144.61239,heat,265.038,8.96868,8時間58分7秒,7時間1分53秒
尾幌,43.018463,144.703758,cool,272.520,9.04046,9時間2分26秒,6時間57分34秒
門静,43.057581,144.782638,cool,278.786,9.10048,9時間6分2秒,6時間53分58秒
厚岸,43.056248,144.841355,cool,283.559,9.14614,9時間8分46秒,6時間51分14秒
糸魚沢,43.103506,144.92545,unknown,290.300,9.21055,9時間12分38秒,6時間47分22秒
茶内,43.129266,145.02801,cool,298.614,9.28984,9時間17分23秒,6時間42分37秒
浜中,43.15754,145.099657,cool,304.444,9.34534,9時間20分43秒,6時間39分17秒
姉別,43.196201,145.194716,eco,312.221,9.41923,9時間25分9秒,6時間34分51秒
厚床,43.228224,145.252096,eco,316.968,9.46426,9時間27分51秒,6時間32分9秒
初田牛,43.204542,145.32277,unknown,322.619,9.51779,9時間31分4秒,6時間28分56秒
別当賀,43.218427,145.423593,eco,330.826,9.59536,9時間35分43秒,6時間24分17秒
落石,43.198335,145.519449,eco,338.544,9.66813,9時間40分5秒,6時間19分55秒
昆布盛,43.228593,145.542444,eco,340.482,9.68638,9時間41分11秒,6時間18分49秒
西和田,43.268043,145.541817,eco,340.579,9.68729,9時間41分14秒,6時間18分46秒
花咲,43.295388,145.575045,unknown,343.401,9.71384,9時間42分50秒,6時間17分10秒
東根室,43.323655,145.597234,unknown,345.359,9.73225,9時間43分56秒,6時間16分4秒
根室,43.326923,145.582707,eco,344.206,9.72141,9時間43分17秒,6時間16分43秒
植苗,42.713645,141.735344,eco,50.393,6.88612,6時間53分10秒,9時間6分50秒
美々,42.777418,141.711387,unknown,43.711,6.82143,6時間49分17秒,9時間10分43秒
新千歳空港,42.787546,141.680823,eco,41.217,6.79730,6時間47分50秒,9時間12分10秒
南千歳,42.80804,141.675388,eco,39.215,6.77793,6時間46分41秒,9時間13分19秒
千歳(北海道),42.82811,141.651934,eco,36.277,6.74953,6時間44分58秒,9時間15分2秒
長都,42.852178,141.622987,eco,32.709,6.71505,6時間42分54秒,9時間17分6秒
サッポロビール庭園,42.866812,141.605616,heat,30.553,6.69422,6時間41分39秒,9時間18分21秒
恵庭,42.883076,141.586234,heat,28.153,6.67105,6時間40分16秒,9時間19分44秒
恵み野,42.902704,141.574429,heat,25.910,6.64940,6時間38分58秒,9時間21分2秒
島松,42.922504,141.573117,heat,24.310,6.63397,6時間38分2秒,9時間21分58秒
北広島,42.979239,141.563115,heat,19.918,6.59161,6時間35分30秒,9時間24分30秒
上野幌,43.016177,141.487317,cool,12.535,6.52050,6時間31分14秒,9時間28分46秒
新札幌,43.038732,141.47237,cool,10.424,6.50018,6時間30分1秒,9時間29分59秒
新さっぽろ,43.039141,141.473106,cool,10.466,6.50059,6時間30分2秒,9時間29分58秒
平和,43.04695,141.437967,cool,7.483,6.47190,6時間28分19秒,9時間31分41秒
東追分,42.902377,141.83228,unknown,43.310,6.81755,6時間49分3秒,9時間10分57秒
川端,42.914721,141.894791,cool,47.441,6.85753,6時間51分27秒,9時間8分33秒
滝ノ上,42.910244,141.97628,unknown,53.838,6.91950,6時間55分10秒,9時間4分50秒
十三里,42.914667,142.024478,unknown,57.407,6.95409,6時間57分15秒,9時間2分45秒
新夕張,42.936611,142.03657,cool,57.668,6.95662,6時間57分24秒,9時間2分36秒
沼ノ沢,42.957586,142.030836,unknown,56.655,6.94680,6時間56分48秒,9時間3分12秒
南清水沢,42.985272,142.006597,unknown,54.110,6.92213,6時間55分20秒,9時間4分40秒
清水沢,42.99827,142.007285,unknown,53.931,6.92040,6時間55分13秒,9時間4分47秒
鹿ノ谷,43.039447,141.964476,unknown,49.970,6.88202,6時間52分55秒,9時間7分5秒
夕張,43.050926,141.967472,unknown,50.142,6.88369,6時間53分1秒,9時間6分59秒
占冠,42.993088,142.400078,eco,85.702,7.22881,7時間13分44秒,8時間46分16秒
トマム,43.055913,142.610937,eco,102.385,7.39108,7時間23分28秒,8時間36分32秒
勇払,42.632805,141.727667,eco,57.379,6.95382,6時間57分14秒,9時間2分46秒
浜厚真,42.606725,141.837071,eco,64.885,7.02662,7時間1分36秒,8時間58分24秒
浜田浦,42.590722,141.88362,unknown,68.643,7.06309,7時間3分47秒,8時間56分13秒
鵡川,42.578953,141.923892,eco,71.758,7.09333,7時間5分36秒,8時間54分24秒
汐見,42.550235,141.945255,unknown,75.327,7.12799,7時間7分41秒,8時間52分19秒
富川,42.516865,142.020855,unknown,82.179,7.19457,7時間11分40秒,8時間48分20秒
日高門別,42.481237,142.072692,unknown,87.964,7.25080,7時間15分3秒,8時間44分57秒
豊郷(北海道),42.470119,142.122493,unknown,91.635,7.28650,7時間17分11秒,8時間42分49秒
清畠,42.455709,142.176624,unknown,95.864,7.32763,7時間19分39秒,8時間40分21秒
厚賀,42.430507,142.215896,unknown,100.122,7.36906,7時間22分9秒,8時間37分51秒
大狩部,42.395695,142.259355,unknown,105.383,7.42025,7時間25分13秒,8時間34分47秒
節婦,42.38248,142.275541,unknown,107.363,7.43952,7時間26分22秒,8時間33分38秒
新冠,42.360667,142.312585,unknown,111.226,7.47712,7時間28分38秒,8時間31分22秒
静内,42.336559,142.360402,unknown,115.898,7.52261,7時間31分21秒,8時間28分39秒
東静内,42.304416,142.450485,unknown,123.693,7.59850,7時間35分55秒,8時間24分5秒
春立,42.268515,142.498943,unknown,129.333,7.65342,7時間39分12秒,8時間20分48秒
日高東別,42.280837,142.521371,unknown,129.734,7.65732,7時間39分26秒,8時間20分34秒
日高三石,42.247269,142.566859,unknown,135.017,7.70876,7時間42分32秒,8時間17分28秒
蓬栄,42.264636,142.604517,unknown,136.013,7.71846,7時間43分6秒,8時間16分54秒
本桐,42.248205,142.630455,unknown,138.822,7.74581,7時間44分45秒,8時間15分15秒
荻伏,42.206136,142.689432,unknown,145.559,7.81141,7時間48分41秒,8時間11分19秒
絵笛,42.198428,142.736134,unknown,149.015,7.84505,7時間50分42秒,8時間9分18秒
浦河,42.168366,142.769976,unknown,153.313,7.88689,7時間53分13秒,8時間6分47秒
東町,42.156037,142.788931,unknown,155.392,7.90712,7時間54分26秒,8時間5分34秒
日高幌別,42.142338,142.834519,unknown,159.227,7.94444,7時間56分40秒,8時間3分20秒
鵜苫,42.134449,142.882513,unknown,162.807,7.97928,7時間58分45秒,8時間1分15秒
西様似,42.138411,142.908737,unknown,164.184,7.99268,7時間59分34秒,8時間0分26秒
様似,42.127936,142.93596,unknown,166.657,8.01673,8時間1分0秒,7時間59分0秒
八軒,43.085845,141.319145,cool,3.204,6.43077,6時間25分51秒,9時間34分9秒
新川(北海道),43.098604,141.323824,cool,3.989,6.43831,6時間26分18秒,9時間33分42秒
新琴似,43.112928,141.335105,cool,5.089,6.44888,6時間26分56秒,9時間33分4秒
太平,43.12401,141.349526,cool,6.161,6.45919,6時間27分33秒,9時間32分27秒
百合が原,43.131476,141.360672,cool,7.036,6.46760,6時間28分3秒,9時間31分57秒
篠路,43.145152,141.364323,cool,8.582,6.48246,6時間28分57秒,9時間31分3秒
拓北,43.155568,141.381013,eco,9.976,6.49587,6時間29分45秒,9時間30分15秒
あいの里教育大,43.15528,141.39842,eco,10.384,6.49980,6時間29分59秒,9時間30分1秒
あいの里公園,43.161206,141.413276,eco,11.478,6.51033,6時間30分37秒,9時間29分23秒
ロイズタウン,43.179589,141.436236,eco,14.156,6.53610,6時間32分10秒,9時間27分50秒
太美,43.189801,141.449066,eco,15.660,6.55059,6時間33分2秒,9時間26分58秒
当別,43.22208,141.513764,eco,21.589,6.60772,6時間36分28秒,9時間23分32秒
北海道医療大学,43.230925,141.54995,eco,24.225,6.63315,6時間37分59秒,9時間22分1秒
石狩金沢,43.245385,141.569239,unknown,26.465,6.65476,6時間39分17秒,9時間20分43秒
本中小屋,43.28019,141.591661,unknown,30.579,6.69447,6時間41分40秒,9時間18分20秒
中小屋,43.306846,141.602341,unknown,33.433,6.72204,6時間43分19秒,9時間16分41秒
月ヶ岡,43.324867,141.61807,unknown,35.797,6.74489,6時間44分42秒,9時間15分18秒
知来乙,43.331545,141.649123,unknown,37.943,6.76563,6時間45分56秒,9時間14分4秒
石狩月形,43.340869,141.670193,unknown,39.834,6.78392,6時間47分2秒,9時間12分58秒
豊ヶ岡,43.366645,141.714026,unknown,44.325,6.82737,6時間49分39秒,9時間10分21秒
札比内,43.370926,141.742762,unknown,46.249,6.84599,6時間50分46秒,9時間9分14秒
晩生内,43.399921,141.779211,unknown,50.615,6.88827,6時間53分18秒,9時間6分42秒
札的,43.419153,141.803549,unknown,53.520,6.91642,6時間54分59秒,9時間5分1秒
浦臼,43.430964,141.817376,unknown,55.241,6.93309,6時間55分59秒,9時間4分1秒
鶴沼,43.457673,141.840637,unknown,58.694,6.96657,6時間58分0秒,9時間2分0秒
於札内,43.473424,141.840102,unknown,59.964,6.97888,6時間58分44秒,9時間1分16秒
南下徳富,43.485542,141.844454,unknown,61.209,6.99096,6時間59分27秒,9時間0分33秒
下徳富,43.50271,141.855574,unknown,63.242,7.01068,7時間0分38秒,8時間59分22秒
新十津川,43.545575,141.874172,unknown,67.870,7.05559,7時間3分20秒,8時間56分40秒
北一已,43.742021,142.014721,heat,92.107,7.29109,7時間17分28秒,8時間42分32秒
秩父別,43.769099,141.967757,heat,92.466,7.29458,7時間17分40秒,8時間42分20秒
北秩父別,43.789375,141.960915,heat,94.078,7.31026,7時間18分37秒,8時間41分23秒
石狩沼田,43.810032,141.934266,heat,94.953,7.31877,7時間19分8秒,8時間40分52秒
真布,43.832965,141.906756,unknown,96.114,7.33006,7時間19分48秒,8時間40分12秒
恵比島,43.851296,141.88144,unknown,96.999,7.33867,7時間20分19秒,8時間39分41秒
峠下,43.850789,141.818879,unknown,94.826,7.31753,7時間19分3秒,8時間40分57秒
幌糠,43.855521,141.758418,unknown,93.481,7.30445,7時間18分16秒,8時間41分44秒
藤山,43.88708,141.720588,unknown,95.776,7.32678,7時間19分36秒,8時間40分24秒
大和田(北海道),43.913418,141.696528,unknown,97.991,7.34832,7時間20分54秒,8時間39分6秒
留萌,43.942848,141.651433,unknown,100.189,7.36971,7時間22分11秒,8時間37分49秒
